名稱	閃電種類	時間	經度	緯度
對地閃電 1-2022-08-06 16:00	對地	2022-08-06 16	120.489	23.213
對地閃電 2-2022-08-06 16:00	對地	2022-08-06 16	120.368	23.224
雲間閃電 1-2022-08-06 16:00	雲間	2022-08-06 16	120.425	23.275
雲間閃電 2-2022-08-06 16:00	雲間	2022-08-06 16	120.6	23.016
對地閃電 3-2022-08-06 16:00	對地	2022-08-06 16	120.602	23.017
雲間閃電 3-2022-08-06 16:00	雲間	2022-08-06 16	120.577	23.004
對地閃電 4-2022-08-06 16:00	對地	2022-08-06 16	120.581	22.997
對地閃電 5-2022-08-06 16:00	對地	2022-08-06 16	120.575	22.986
對地閃電 6-2022-08-06 16:00	對地	2022-08-06 16	120.567	22.991
對地閃電 7-2022-08-06 16:00	對地	2022-08-06 16	120.52	22.946
對地閃電 8-2022-08-06 16:00	對地	2022-08-06 16	120.571	22.992
對地閃電 9-2022-08-06 16:00	對地	2022-08-06 16	120.465	23.159
雲間閃電 4-2022-08-06 16:00	雲間	2022-08-06 16	120.42	23.295
對地閃電 10-2022-08-06 16:00	對地	2022-08-06 16	120.237	23.13
雲間閃電 5-2022-08-06 16:00	雲間	2022-08-06 16	120.425	23.308
雲間閃電 6-2022-08-06 16:00	雲間	2022-08-06 16	120.458	23.344
對地閃電 11-2022-08-06 16:00	對地	2022-08-06 16	120.447	23.291
對地閃電 12-2022-08-06 16:00	對地	2022-08-06 16	120.444	23.272
對地閃電 13-2022-08-06 16:00	對地	2022-08-06 16	120.373	23.217
對地閃電 14-2022-08-06 16:00	對地	2022-08-06 16	120.402	23.225
雲間閃電 7-2022-08-06 16:00	雲間	2022-08-06 16	120.586	23.028
雲間閃電 8-2022-08-06 16:00	雲間	2022-08-06 16	120.463	23.313
雲間閃電 9-2022-08-06 16:00	雲間	2022-08-06 16	120.439	23.276
對地閃電 15-2022-08-06 16:00	對地	2022-08-06 16	120.431	23.216
雲間閃電 10-2022-08-06 16:00	雲間	2022-08-06 16	120.429	23.298
雲間閃電 11-2022-08-06 16:00	雲間	2022-08-06 16	120.426	23.24
雲間閃電 12-2022-08-06 16:00	雲間	2022-08-06 16	120.393	23.278
對地閃電 16-2022-08-06 16:00	對地	2022-08-06 16	120.465	23.209
對地閃電 17-2022-08-06 16:00	對地	2022-08-06 16	120.407	23.254
雲間閃電 13-2022-08-06 16:00	雲間	2022-08-06 16	120.408	23.26
對地閃電 18-2022-08-06 16:00	對地	2022-08-06 16	120.396	23.217
雲間閃電 14-2022-08-06 16:00	雲間	2022-08-06 16	120.503	23.199
對地閃電 19-2022-08-06 16:00	對地	2022-08-06 16	120.589	22.963
對地閃電 20-2022-08-06 16:00	對地	2022-08-06 16	120.271	23.194
雲間閃電 15-2022-08-06 16:00	雲間	2022-08-06 16	120.369	23.297
雲間閃電 16-2022-08-06 16:00	雲間	2022-08-06 16	120.373	23.287
雲間閃電 17-2022-08-06 16:00	雲間	2022-08-06 16	120.379	23.285
對地閃電 21-2022-08-06 16:00	對地	2022-08-06 16	120.434	23.299
雲間閃電 18-2022-08-06 16:00	雲間	2022-08-06 16	120.512	23.432
雲間閃電 19-2022-08-06 16:00	雲間	2022-08-06 16	120.602	23.232
對地閃電 22-2022-08-06 16:00	對地	2022-08-06 16	120.447	23.247
雲間閃電 20-2022-08-06 16:00	雲間	2022-08-06 16	120.431	23.316
對地閃電 23-2022-08-06 16:00	對地	2022-08-06 16	120.429	23.281
雲間閃電 21-2022-08-06 16:00	雲間	2022-08-06 16	120.464	23.277
對地閃電 24-2022-08-06 16:00	對地	2022-08-06 16	120.484	23.241
對地閃電 25-2022-08-06 16:00	對地	2022-08-06 16	120.32	23.247
對地閃電 26-2022-08-06 16:00	對地	2022-08-06 16	120.416	23.243
對地閃電 27-2022-08-06 16:00	對地	2022-08-06 16	120.402	23.241
雲間閃電 22-2022-08-06 16:00	雲間	2022-08-06 16	120.394	23.202
雲間閃電 23-2022-08-06 16:00	雲間	2022-08-06 16	120.441	23.289
雲間閃電 24-2022-08-06 16:00	雲間	2022-08-06 16	120.441	23.289
對地閃電 28-2022-08-06 16:00	對地	2022-08-06 16	120.379	23.276
對地閃電 29-2022-08-06 16:00	對地	2022-08-06 16	120.437	23.223
對地閃電 30-2022-08-06 16:00	對地	2022-08-06 16	120.499	22.887
對地閃電 31-2022-08-06 16:00	對地	2022-08-06 16	120.325	23.138
對地閃電 32-2022-08-06 16:00	對地	2022-08-06 16	120.438	23.24
對地閃電 33-2022-08-06 16:00	對地	2022-08-06 16	120.399	23.252
雲間閃電 25-2022-08-06 16:00	雲間	2022-08-06 16	120.452	23.256
雲間閃電 26-2022-08-06 16:00	雲間	2022-08-06 16	120.586	22.994
對地閃電 34-2022-08-06 16:00	對地	2022-08-06 16	120.439	23.211
對地閃電 35-2022-08-06 16:00	對地	2022-08-06 16	120.391	23.284
雲間閃電 27-2022-08-06 16:00	雲間	2022-08-06 16	120.377	23.317
雲間閃電 28-2022-08-06 16:00	雲間	2022-08-06 16	120.443	23.184
對地閃電 36-2022-08-06 16:00	對地	2022-08-06 16	120.48	22.921
雲間閃電 29-2022-08-06 16:00	雲間	2022-08-06 16	120.432	23.305
對地閃電 37-2022-08-06 16:00	對地	2022-08-06 16	120.484	22.918
對地閃電 38-2022-08-06 16:00	對地	2022-08-06 16	120.4	23.253
對地閃電 39-2022-08-06 16:00	對地	2022-08-06 16	120.389	23.232
對地閃電 40-2022-08-06 16:00	對地	2022-08-06 16	120.375	23.235
雲間閃電 30-2022-08-06 16:00	雲間	2022-08-06 16	120.435	23.312
雲間閃電 31-2022-08-06 16:00	雲間	2022-08-06 16	120.485	23.189
對地閃電 41-2022-08-06 16:00	對地	2022-08-06 16	120.498	23.372
對地閃電 42-2022-08-06 16:00	對地	2022-08-06 16	120.483	23.222
對地閃電 43-2022-08-06 16:00	對地	2022-08-06 16	120.482	23.216
對地閃電 44-2022-08-06 16:00	對地	2022-08-06 16	120.461	23.207
對地閃電 45-2022-08-06 16:00	對地	2022-08-06 16	120.554	23.421
雲間閃電 32-2022-08-06 16:00	雲間	2022-08-06 16	120.361	23.253
對地閃電 46-2022-08-06 16:00	對地	2022-08-06 16	120.431	23.239
雲間閃電 33-2022-08-06 16:00	雲間	2022-08-06 16	120.497	23.214
雲間閃電 34-2022-08-06 16:00	雲間	2022-08-06 16	120.436	23.172
對地閃電 47-2022-08-06 16:00	對地	2022-08-06 16	120.434	23.22
雲間閃電 35-2022-08-06 16:00	雲間	2022-08-06 16	120.442	23.257
雲間閃電 36-2022-08-06 16:00	雲間	2022-08-06 16	120.391	23.277
雲間閃電 37-2022-08-06 16:00	雲間	2022-08-06 16	120.5	23.214
對地閃電 48-2022-08-06 16:00	對地	2022-08-06 16	120.443	23.19
雲間閃電 38-2022-08-06 16:01	雲間	2022-08-06 16	120.496	23.225
雲間閃電 39-2022-08-06 16:01	雲間	2022-08-06 16	120.433	23.3
對地閃電 49-2022-08-06 16:01	對地	2022-08-06 16	120.414	23.194
雲間閃電 40-2022-08-06 16:01	雲間	2022-08-06 16	120.439	23.277
雲間閃電 41-2022-08-06 16:01	雲間	2022-08-06 16	120.439	23.277
對地閃電 50-2022-08-06 16:01	對地	2022-08-06 16	120.556	22.888
雲間閃電 42-2022-08-06 16:01	雲間	2022-08-06 16	120.397	23.266
對地閃電 51-2022-08-06 16:01	對地	2022-08-06 16	120.343	23.218
雲間閃電 43-2022-08-06 16:01	雲間	2022-08-06 16	120.334	23.14
對地閃電 52-2022-08-06 16:01	對地	2022-08-06 16	120.477	23.351
雲間閃電 44-2022-08-06 16:01	雲間	2022-08-06 16	120.397	23.245
雲間閃電 45-2022-08-06 16:01	雲間	2022-08-06 16	120.45	23.286
